Company,"CIK Code",Ticker,Market,"IRS Number","Bus Street 1","Bus Street 2",City,County,"State Code","State Name",Region,Zip,"Bus Phone","Incorporation State Code","Parent CIK","Parent Name","SIC Code","SIC Description","NAICS Code","NAICS Description","Filer Act",Auditor,"Auditor Key","Auditor Affiliate","Auditor Affiliate Key","Auditor Affiliate Country","Audit Fees ($)","Audit Related Fees ($)","Benefit Plan Related Fees ($)","FISDI Fees ($)","Tax Related Fees ($)","Tax Related Fees - Compliance ($)","Tax Related Fees - Non-Compliance ($)","Other/Misc Fees ($)","Total Non Audit Fees ($)","Total Fees ($)",Currency,"Fees Include Subsidiaries","Fees Included In Parent Filings","Restated Fees","Year Ended Date","Year Ended","Year Ended Month (Ideal)","Fiscal Year Ends (Currently Reported)","S&P Index","Russell Index",Source,"Source Date","Stock Price ($)","Stock Price Date","Market Cap ($)","Financials Date","Revenue ($)","Earnings ($)","Book Value ($)","Assets ($)"
"INNOVATIVE MEDTECH, INC.",1331612,IMTH,"Pink Current",331130446,"2310 YORK ST","SUITE 200","JERSEY CITY",Cook,IL,ILLINOIS,"US Midwest",60406,"(708) 925-9424",DE,,,5040,"Wholesale-Professional & Commercial Equipment & Supplies",424480,"Fresh Fruit and Vegetable Merchant Wholesalers",34,"Accell Audit & Compliance PA",13584,,,,"20,000",0,0,0,0,,,0,0,"20,000",USD,,,0,2021-06-30,2021,06,0630,,,10-K,2021-10-13,1.6,2021-07-01,"2,616,976,640",2021-06-30,"349,143","-3,264,957","-3,417,222","5,132,397"
"OCEAN BIO CHEM INC",350737,,,591564329,"4041 SW 47TH AVE",,"FORT LAUDERDALE",Broward,FL,FLORIDA,"US Southeast",33314,"(954) 587-6280",FL,,,2842,"Speciality Cleaning, Polishing, and Sanitary Preparations",325612,"Polish and Other Sanitation Good Manufacturing",34,"Accell Audit & Compliance PA",13584,,,,"76,000",0,"8,000",0,0,,,0,"8,000","84,000",USD,,,0,2021-12-31,2021,12,1231,,,"DEF 14A",2022-04-11,8.46,2021-12-29,"80,249,856",2021-12-31,"64,298,595","8,403,968","46,055,466","60,277,704"
"BorrowMoney.com, Inc.",1656501,BWMY,"Pink Current",650981503,"512 BAYSHORE DRIVE FORT",,LAUDERDALE,Broward,FL,FLORIDA,"US Southeast",33304,"(718) 753-4285",FL,,,7389,"Business Services, NEC",522310,"Mortgage and Nonmortgage Loan Brokers",34,"Accell Audit & Compliance PA",13584,,,,"32,500",0,0,0,0,,,0,0,"32,500",USD,,,0,2021-08-31,2021,08,0831,,,10-K,2021-12-09,0.7098,2021-09-02,"77,492,416",2021-08-31,"3,000","-195,785",,"9,316"
"MAUI LAND & PINEAPPLE CO INC",63330,MLP,NYSE,990107542,"200 VILLAGE ROAD",,LAHAINA,Maui,HI,HAWAII,"US West",96761,"(808) 877-1608",HI,,,6500,"Real Estate",311421,"Fruit and Vegetable Canning",34,"Accuity LLP",2351,,,,"158,000",0,0,0,"30,000",,,0,"30,000","188,000",USD,,,0,2021-12-31,2021,12,1231,,,"DEF 14A",2022-05-16,10.03,2021-12-29,"194,961,056",2021-12-31,"12,443,000","-3,420,000",,"37,919,000"
"Usio, Inc.",1088034,USIO,"NASDAQ Capital Market",980190072,"3611 PAESANOS PARKWAY","SUITE 300","SAN ANTONIO",Bexar,TX,TEXAS,"US Southwest",78231,"(210) 249-4100",NV,,,6099,"Functions Related to Deposit Banking, NEC",522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",34,"ADKF PC",32978,,,,"124,500",0,0,0,"19,000",,,0,"19,000","143,500",USD,,,0,2021-12-31,2021,12,1231,,,"DEF 14A",2022-04-29,4.65,2021-12-29,"116,128,056",2021-12-31,"61,942,316","-321,634","14,505,012","133,679,715"
"Curaleaf Holdings, Inc.",1756770,CURLF,"OTCQX International",,"610 - 700 WEST PENDER STREET",,VANCOUVER,,A1,"BRITISH COLUMBIA",Canada,"V6C 1G8","(604) 218-4766",A1,,,2833,"Medicinal Chemicals and Botanical Products",111419,"Other Food Crops Grown Under Cover",34,"Antares Professional Corporation (PKF Antares)",32681,,,,"1,215,000","285,000",0,0,0,,,"69,000","354,000","1,569,000",USD,,,0,2021-12-31,2021,12,1231,,,40-F,2022-03-09,8.21,2021-12-29,"4,678,313,472",2021-12-31,"1,209,661,000","-101,731,000","170,591,000","3,262,478,000"
"QUANTUM CORP /DE/",709283,QMCO,"NASDAQ Global Market",942665054,"224 AIRPORT PARKWAY","SUITE 550","SAN JOSE","Santa Clara",CA,CALIFORNIA,"US West",95110,"(408) 944-4000",DE,,,3572,"Computer Storage Devices",334112,"Computer Storage Device Manufacturing",34,"Armanino LLP",20474,,,,"1,180,000","4,400",0,0,"1,100",,,0,"5,500","1,185,500",USD,,,0,2021-03-31,2021,03,0331,,,"DEF 14A",2021-07-28,7.75,2021-03-29,"322,041,312",2021-03-31,"349,576,000","-35,459,000","-120,748,000","194,924,000"
"GAIA, INC",1089872,GAIA,"NASDAQ Global Market",841113527,"833 WEST BOULDER ROAD","BLDG G",LOUISVILLE,Boulder,CO,COLORADO,"US West",80027-2452,"(303) 222-3330",CO,,,7812,"Motion Picture and Video Tape Production",454113,"Mail-Order Houses",34,"Armanino LLP",20474,,,,"116,000",0,0,0,0,,,"43,000","43,000","159,000",USD,,,0,2021-12-31,2021,12,1231,,,"DEF 14A",2022-03-14,8.62,2021-12-29,"119,973,048",2021-12-31,"79,573,000","3,731,000","61,345,000","133,676,000"
"ARC DOCUMENT SOLUTIONS, INC.",1305168,ARC,NYSE,201700361,"12657 ALCOSTA BLVD.","SUITE 200","SAN RAMON","Contra Costa",CA,CALIFORNIA,"US West",94583,"(925) 949-5126",,,,7330,"Services-Mailing, Reproduction, Commercial Art & Photography",561439,"Other Business Service Centers (including Copy Shops)",34,"Armanino LLP",20474,,,,"605,000",0,0,0,0,,,0,0,"605,000",USD,,,0,2021-12-31,2021,12,1231,,,"DEF 14A",2022-03-25,3.35,2021-12-29,"144,467,776",2021-12-31,"272,208,000","9,143,000","31,051,000","323,999,000"
"PIXELWORKS, INC",1040161,PXLW,"NASDAQ Global Market",911761992,"16760 SW UPPER BOONES FERRY RD.","SUITE 101",PORTLAND,Washington,OR,OREGON,"US West",97224,"(503) 601-4545",OR,,,3674,"Semiconductors and Related Devices",334413,"Semiconductor and Related Device Manufacturing",34,"Armanino LLP",20474,,,,"417,500",0,0,0,0,,,0,0,"417,500",USD,,,0,2021-12-31,2021,12,1231,,,"DEF 14A",2022-04-14,4.59,2021-12-29,"244,314,208",2021-12-31,"55,102,000","-19,821,000","52,629,000","106,600,000"
